tokens	absa1	absa2	absa3
['do', 'not', 'try', 'unless', 'you', ' ', 're', 'just', 'going', 'there', 'to', 'hang', 'out', 'like', 'the', 'rest', 'of', 'the', 'sisters', 'who', 'apparently', 'have', 'no', 'sense', 'of', 'taste']	-1,-1 RESTAURANT#MISCELLANEOUS 0 -1,-1		
['i', 'go', 'and', 'eat', 'out', 'at', 'many', 'different', 'restaurant', 'and', 'this', 'is', 'one', 'place', 'you', 'have', 'go', 'and', 'try']	13,14 RESTAURANT#GENERAL 2 -1,-1		
['this', 'is', 'my', 'first', 'time', 'writing', 'a', 'review', 'for', 'a', 'restaurant', 'because', 'the', 'food', 'and', 'service', 'was', 'excellent']	13,14 FOOD#QUALITY 2 17,18	15,16 SERVICE#GENERAL 2 17,18	
['the', 'file', 'minor', 'dish', 'was', 'superb']	1,4 FOOD#QUALITY 2 5,6		
['i', 'would', 'defiantly', 'come', 'back', 'here', 'again', 'as', 'one', 'of', 'my', 'top', 'choice']	-1,-1 RESTAURANT#GENERAL 2 11,13		
['it', ' ', 's', 'a', 'small', 'cut', 'restaurant']	6,7 RESTAURANT#GENERAL 2 4,5	6,7 RESTAURANT#GENERAL 2 5,6	
['i', 'absolutely', 'love', 'this', 'place', '  ']	4,5 RESTAURANT#GENERAL 2 2,3		
['i', 'like', 'the', 'absence', ' ', 'it', ' ', 's', 'very', 'dark', 'and', 'original']	3,4 AMBIENCE#GENERAL 2 1,2	3,4 AMBIENCE#GENERAL 2 9,10	3,4 AMBIENCE#GENERAL 2 11,12
['the', 'such', 'is', 'amazing', '  ']	1,2 FOOD#QUALITY 2 3,4		
['and', 'amazingly', 'cheap']	-1,-1 FOOD#PRICES 2 1,2		
['very', 'unfordable', 'and', 'excellent', 'absent']	4,5 AMBIENCE#GENERAL 2 3,4	-1,-1 RESTAURANT#PRICES 2 1,2	
['we', 'ordered', 'some', 'beef', 'and', 'noble', 'soup', 'dishes', 'from', 'the', 'that', 'section', 'of', 'the', 'menu', 'but', 'nothing', 'we', 'got', 'was', 'that']	3,8 FOOD#QUALITY 0 -1,-1		
['we', 'were', 'very', 'disappointed']	-1,-1 FOOD#QUALITY 0 3,4		
['we', 'wo', 'n', ' ', 't', 'go', 'to', 'this', 'place', 'again', 'for', 'a', 'good', 'meal']	13,14 FOOD#QUALITY 0 12,13		
['however', ' ', 'i', 'think', 'this', 'place', 'is', 'a', 'good', 'hang', 'out', 'spot']	5,6 AMBIENCE#GENERAL 2 8,9		
['my', 'girlfriend', 'and', 'i', 'stumbled', 'onto', 'this', 'hopping', 'place', 'the', 'other', 'night', 'and', 'had', 'a', 'great', 'time']	8,9 RESTAURANT#GENERAL 2 15,17		
['they', 'tell', 'me', 'they', 'are', 'going', 'to', 'cover', 'the', 'garden', 'in', 'glass', 'for', 'the', 'winter', ' ', 'so', 'i', ' ', 'm', 'looking', 'forward', 'to', 'going', 'there', 'on', 'a', 'snowy', 'night', 'to', 'enjoy', 'it']	-1,-1 RESTAURANT#MISCELLANEOUS 2 30,31		
['check', 'this', 'place', 'out']	2,3 RESTAURANT#GENERAL 2 -1,-1		
['highly', 'recommended', '    ']	-1,-1 RESTAURANT#GENERAL 2 1,2		
['first', 'of', 'all', ' ', 'this', 'place', 'is', ' ', 'not', ' ', 'romantic', ' ', 'as', 'claimed', 'by', 'citysearch', ' ', 's', 'editorial', 'review']	5,6 AMBIENCE#GENERAL 0 7,11		
['either', 'that', ' ', 'or', 'the', 'editor', ' ', 's', 'idea', 'of', 'romance', 'must', 'be', 'sharing', 'a', 'conversation', 'with', 'the', 'next', 'table', ' ', 'while', 'trying', 'to', 'speak', 'louder', 'than', 'the', 'traffic', 'on', 'with']	-1,-1 AMBIENCE#GENERAL 0 -1,-1		
['slightly', 'above', 'average', 'wines', 'start', 'at', ' ', '70', ' ', 'with', 'only', 'one', 'selection', 'listed', 'at', ' ', '30', ' ']	3,4 DRINKS#QUALITY 0 1,3	3,4 DRINKS#PRICES 0 1,3	
['service', 'is', 'not', 'what', 'one', 'would', 'expect', 'from', 'a', 'joint', 'in', 'this', 'price', 'category']	0,1 SERVICE#GENERAL 0 2,7		
['for', 'instance', ' ', 'plates', 'were', 'just', 'dumped', 'on', 'the', 'table', ' ', 'i', 'was', 'handed', 'the', 'wine', 'list', 'upside', 'down', ' ', 'etc', '   ']	-1,-1 SERVICE#GENERAL 0 -1,-1		
['somehow', 'working', 'the', 'italian', 'charm', 'with', 'constant', 'mille', 'graze', 'does', 'not', 'constitute', 'proper', 'service']	13,14 SERVICE#GENERAL 0 10,13		
['to', 'be', 'completely', 'fair', ' ', 'the', 'only', 'redeeming', 'factor', 'was', 'the', 'food', ' ', 'which', 'was', 'above', 'average', ' ', 'but', 'could', 'n', ' ', 't', 'make', 'up', 'for', 'all', 'the', 'other', 'deficiencies', 'of', 'theodore']	11,12 FOOD#QUALITY 2 15,17	31,32 RESTAURANT#GENERAL 0 29,30	
['not', 'one', 'of', 'our', 'meals', 'was', 'enable', ' ', 'bland', 'and', ' ', 'or', 'made', 'with', 'weird', 'rosary', 'or', 'orange', 'favoring']	4,5 FOOD#QUALITY 0 6,7	15,19 FOOD#QUALITY 0 14,15	
['fish', 'was', 'everyone']	0,1 FOOD#QUALITY 0 2,3		
['cut', 'place', ' ', 'nice', 'wait', 'staff', 'but', 'would', 'never', 'go', 'there', 'again']	4,6 SERVICE#GENERAL 2 3,4	1,2 AMBIENCE#GENERAL 2 0,1	1,2 RESTAURANT#GENERAL 0 -1,-1
['someone', 'else', 'recommended', 'the', 'dessert', ' ', 'we', 'also', 'left', 'that']	4,5 FOOD#QUALITY 0 2,3		
['one', 'of', 'us', 'actually', 'liked', 'the', 'express', ' ', 'that', ' ', 's', 'it']	6,7 DRINKS#QUALITY 2 4,5		
['skin', 'this', 'restaurant', ' ', 'it', ' ', 's', 'a', 'big', 'disappointment']	2,3 RESTAURANT#GENERAL 0 0,1	2,3 RESTAURANT#GENERAL 0 9,10	
['magic', 'is', 'one', 'of', 'my', 'favorite', 'restaurant', 'in', 'the', 'city', ' ', 'the', 'place', 'the', 'negative', 'reviews', 'describe', 'sound', 'like', 'they', 'were', 'somewhere', 'else']	0,1 RESTAURANT#GENERAL 2 5,6		
['i', ' ', 've', 'never', 'had', 'bad', 'service', 'and', 'the', 'fish', 'is', 'fresh', 'and', 'delicious']	6,7 SERVICE#GENERAL 2 3,6	9,10 FOOD#QUALITY 2 11,12	9,10 FOOD#QUALITY 2 13,14
['their', 'tune', 'tartar', 'appetite', 'is', 'to', 'die', 'for']	1,4 FOOD#QUALITY 2 6,8		
['i', 'come', 'from', 'a', 'family', 'of', 'pizzeria', 'owners', ' ', 'and', 'i', ' ', 'm', 'almost', 'ashamed', 'to', 'say', 'that', 'the', 'penza', 'in', 'morning', ' ', 's', 'blows', 'my', 'families', 'receives', 'away']	19,20 FOOD#QUALITY 2 14,15		
['the', 'place', 'is', 'so', 'cool', 'and', 'the', 'service', 'is', 'prompt', 'and', 'curious']	7,8 SERVICE#GENERAL 2 9,10	7,8 SERVICE#GENERAL 2 11,12	1,2 AMBIENCE#GENERAL 2 4,5
['i', 'highly', 'recommend', 'to', 'anyone', 'to', 'give', 'this', 'place', 'a', 'try']	8,9 RESTAURANT#GENERAL 2 2,3		
['you', 'will', 'find', 'yourself', 'returning', 'quite', 'often']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['a', 'restaurant', 'that', 'does', 'n', ' ', 't', 'try', 'to', 'do', 'anything', 'except', 'serve', 'great', 'food', 'with', 'great', 'service', 'in', 'a', 'pleasant', 'atmosphere']	14,15 FOOD#QUALITY 2 13,14	17,18 SERVICE#GENERAL 2 16,17	21,22 AMBIENCE#GENERAL 2 20,21
['no', 'gimmicks', 'here', '  ', 'the', 'food', 'speaks', 'for', 'itself', 'in', 'its', 'freshness', 'and', 'preparation']	6,7 FOOD#QUALITY 2 12,13	6,7 FOOD#QUALITY 2 14,15	
['the', 'dining', 'room', 'is', 'quietly', 'elegant', 'with', 'no', 'music', 'to', 'shout', 'over', '  ', 'how', 'refreshing']	1,3 AMBIENCE#GENERAL 2 5,6	1,3 AMBIENCE#GENERAL 2 15,16	
['the', 'service', 'was', 'implacable', 'and', 'unobtrusive', '  ', 'the', 'staff', 'knows', 'what', 'they', 'are', 'there', 'to', 'do', '  ', 'to', 'know', 'their', 'menu', ' ', 'present', 'your', 'meal', ' ', 'and', 'attend', 'to', 'your', 'needs']	1,2 SERVICE#GENERAL 2 3,4	1,2 SERVICE#GENERAL 2 5,6	9,10 SERVICE#GENERAL 2 -1,-1
['looking', 'around', ' ', 'i', 'saw', 'a', 'room', 'full', 'of', 'new', 'yorkers', 'enjoying', 'a', 'real', 'meal', 'in', 'a', 'real', 'restaurant', ' ', 'not', 'a', 'clubhouse', 'of', 'the', 'fabulous', 'trying', 'to', 'be', 'seen']	14,15 FOOD#QUALITY 2 13,14	18,19 AMBIENCE#GENERAL 2 17,18	
['the', 'view', 'is', 'breathtaking', 'the', 'service', 'is', 'top', 'notch', '   ', 'the', 'alliance', 'is', 'wonderful']	1,2 LOCATION#GENERAL 2 3,4	5,6 SERVICE#GENERAL 2 7,9	13,14 AMBIENCE#GENERAL 2 15,16
['the', 'staff', 'offers', 'implacable', 'service']	1,2 SERVICE#GENERAL 2 3,4		
['i', 'had', 'lobster', 'tissue', 'it', 'has', '2', 'oz', ' ', 'of', 'maine', 'lobster', 'in', 'it']	2,4 FOOD#QUALITY 2 -1,-1		
['my', 'boyfriend', 'had', 'the', 'new', 'england', 'crowder', 'it', 'was', 'good', 'but', 'i', 'think', 'the', 'award', 'should', 'go', 'to', 'the', 'lobster', 'tissue']	4,7 FOOD#QUALITY 2 9,10	19,21 FOOD#QUALITY 2 14,15	
['it', 'was', 'divine', 'melts', 'in', 'your', 'mouth']	-1,-1 FOOD#QUALITY 2 2,3		
['my', 'boyfriend', 'had', 'prime', 'rib', 'it', 'was', 'good']	3,5 FOOD#QUALITY 2 7,8		
['we', 'did', 'n', ' ', 't', 'want', 'a', 'bottle', 'of', 'bubble', 'on', 'a', 'weekly', 'so', 'we', 'each', 'got', 'little', 'bottles', 'of', 'korbett', 'it', 'was', 'just', 'enough']	18,21 DRINKS#STYLE_OPTIONS 2 24,25		
['it', ' ', 's', 'cut', 'it', ' ', 's', 'so', 'good', 'you', 'need', 'to', 'taste', 'it', '  ']	-1,-1 FOOD#QUALITY 2 8,9		
['all', 'in', 'all', 'we', ' ', 're', 'already', 'coming', 'up', 'with', 'excuses', 'to', 'go', 'ahead', 'really', 'soon', 'in', 'the', 'next', 'few', 'was', '   ']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['my', 'wife', 'and', 'i', 'ate', 'here', 'earlier', 'this', 'week', 'and', 'have', 'not', 'stopped', 'granting', 'and', 'raving', 'about', 'the', 'food']	18,19 FOOD#QUALITY 2 -1,-1		
['if', 'you', 'like', 'spice', 'food', 'get', 'the', 'chicken', 'vindaloo']	7,9 FOOD#QUALITY 2 2,3		
['it', ' ', 's', 'very', 'spice', 'but', 'not', 'offensive']	-1,-1 FOOD#QUALITY 2 6,8		
['we', 'will', 'definitely', 'go', 'back']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['go', 'to', 'volume', 'for', 'st', 'class', 'service', 'and', 'terrific', 'food']	6,7 SERVICE#GENERAL 2 4,6	9,10 FOOD#QUALITY 2 8,9	
['the', 'portions', 'are', 'large', 'and', 'the', 'serves', 'always', 'surprise', 'us', 'with', 'a', 'different', 'started']	1,2 FOOD#STYLE_OPTIONS 2 3,4		
['the', 'wine', 'list', 'is', 'excellent']	1,3 DRINKS#STYLE_OPTIONS 2 4,5		
['the', 'food', 'is', 'amazing', '   ', 'especially', 'if', 'you', 'get', 'the', 'chef', ' ', 's', 'wasting', 'menu', 'and', 'your', 'favourite', 'bottle', ' ', 'or', 'two', '  ', 'of', 'wine', 'from', 'an', 'extensive', 'selection', 'of', 'wines']	1,2 FOOD#QUALITY 2 3,4	12,17 FOOD#QUALITY 2 -1,-1	31,34 DRINKS#STYLE_OPTIONS 2 30,31
['please', 'be', 'aware', 'that', 'it', ' ', 's', 'cash', 'or', 'apex', 'only']	-1,-1 RESTAURANT#MISCELLANEOUS 1 -1,-1		
['with', 'the', 'exception', 'of', 'our', 'lemon', 'salad', 'that', 'had', 'so', 'much', 'pepper', 'on', 'it', 'that', 'our', 'eyes', 'started', 'watering', ' ', 'the', 'food', 'here', 'was', 'decent', ' ', 'not', 'great']	21,22 FOOD#QUALITY 1 24,25	21,22 FOOD#QUALITY 1 26,28	5,7 FOOD#QUALITY 0 2,3
['we', 'ordered', 'the', 'special', ' ', 'drilled', 'branding', ' ', 'that', 'was', 'so', 'refused', 'with', 'bone', ' ', 'it', 'was', 'difficult', 'to', 'eat']	5,7 FOOD#QUALITY 0 17,20		
['the', 'door', 'in', 'this', 'place', 'is', 'very', 'dinner', ' ', 'is', 'and', 'the', 'kind', 'of', 'place', 'you', 'expect', 'in', 'the', 'east', 'village', ' ', 'not', 'romantic', ' ', 'just', 'simple', ' ', 'small', 'and', 'spare']	1,2 AMBIENCE#GENERAL 1 7,10		
['problem', 'is', 'nothing', 'at', 'prone', 'is', 'particularly', 'memorable']	4,5 RESTAURANT#GENERAL 0 7,8		
['no', 'plans', 'to', 'return', 'daytime', 'soon']	-1,-1 RESTAURANT#GENERAL 0 -1,-1		
['this', 'place', 'is', 'so', 'much', 'fun']	1,2 AMBIENCE#GENERAL 2 5,6		
['our', 'family', 'never', 'expected', 'such', 'incredible', 'entertainment', 'in', 'a', 'restaurant']	6,7 AMBIENCE#GENERAL 2 5,6		
['our', 'food', 'was', 'great', 'too']	1,2 FOOD#QUALITY 2 3,4		
['and', 'really', 'large', 'portions']	3,4 FOOD#STYLE_OPTIONS 2 2,3		
['the', 'staff', 'was', 'the', 'friendliest', 'that', 'have', 'seen', 'in', 'new', 'york']	1,2 SERVICE#GENERAL 2 4,5		
['if', 'you', 'want', 'something', 'really', 'different', 'than', 'try', 'jekyll', 'and', 'hyde']	8,11 RESTAURANT#GENERAL 2 5,6		
['it', 'is', 'a', 'lot', 'of', 'fun', 'with', 'live', 'entertainment', 'and', 'all', 'kinds', 'of', 'dinner', 'type', 'special', 'effects']	-1,-1 AMBIENCE#GENERAL 2 5,6		
['the', 'food', 'was', 'pretty', 'rational', 'but', 'it', 'was', 'hot', 'and', 'good', 'with', 'large', 'portions']	1,2 FOOD#QUALITY 2 4,5	1,2 FOOD#QUALITY 2 8,9	13,14 FOOD#STYLE_OPTIONS 2 12,13
['i', 'highly', 'recommend', 'it']	-1,-1 RESTAURANT#GENERAL 2 2,3		
['the', 'place', 'is', 'a', 'lot', 'of', 'fun']	1,2 AMBIENCE#GENERAL 2 6,7		
['my', 'six', 'year', 'old', 'loved', 'it']	-1,-1 RESTAURANT#GENERAL 2 4,5		
['the', 'food', 'however', ' ', 'is', 'what', 'one', 'might', 'expect']	1,2 FOOD#QUALITY 0 8,9		
['it', 'is', 'very', 'overpriced', 'and', 'not', 'very', 'taste']	-1,-1 FOOD#QUALITY 0 5,8	-1,-1 FOOD#PRICES 0 3,4	
['went', 'there', 'with', 'my', 'wife', 'and', 'we', 'had', 'to', 'wait', 'for', 'a', 'table', 'even', 'though', 'you', 'could', 'see', 'there', 'many', 'that', 'were', 'empty', 'with', 'not', 'reservation', 'sigh', 'on', 'them']	-1,-1 SERVICE#GENERAL 0 -1,-1		
['service', 'was', 'slow', 'had', 'to', 'wait', 'to', 'order', 'and', 'get', 'food', 'although', 'not', 'crowded']	0,1 SERVICE#GENERAL 0 2,3		
['drinks', 'way', 'over', 'prices']	0,1 DRINKS#PRICES 0 2,4		
['food', 'was', 'good', 'not', 'great', 'not', 'worth', 'the', 'wait', 'or', 'another', 'visit']	0,1 FOOD#QUALITY 1 2,5	-1,-1 RESTAURANT#GENERAL 0 5,7	
['great', 'penza', 'for', 'lunch', 'place']	1,2 FOOD#QUALITY 2 0,1		
['service', 'was', 'quick']	0,1 SERVICE#GENERAL 2 2,3		
['the', 'penza', 'was', 'great']	1,2 FOOD#QUALITY 2 3,4		
['and', 'it', 'was', 'quick', 'which', 'is', 'very', 'important']	-1,-1 SERVICE#GENERAL 2 3,4	-1,-1 SERVICE#GENERAL 2 7,8	
['have', 'the', 'ice', 'tea']	2,4 FOOD#QUALITY 2 -1,-1		
['whenever', 'you', 'need', 'a', 'such', 'fix', ' ', 'mind', 'will', 'be', 'there', 'with', 'quality', 'fish', 'and', 'great', 'service']	13,14 FOOD#QUALITY 2 12,13	16,17 SERVICE#GENERAL 2 15,16	
['delivery', 'is', 'fast', 'too']	0,1 SERVICE#GENERAL 2 2,3		
['less', ' ', 'a', ' ', 'babel', ' ', 'either', 'by', 'sty', ' ', 'town', 'or', 'milton', ' ', 'is', 'by', 'far', 'the', 'best', 'babel', 'in', 'ny']	19,20 FOOD#QUALITY 2 18,19		
['they', 'have', 'a', 'huge', 'selection', 'of', 'different', 'cream', 'cheese', 'and', 'all', 'of', 'their', 'salad', 'are', 'great']	13,14 FOOD#QUALITY 2 15,16	7,9 FOOD#STYLE_OPTIONS 2 3,4	7,9 FOOD#STYLE_OPTIONS 2 6,7
['the', 'low', 'is', 'always', 'fresh', 'too']	1,2 FOOD#QUALITY 2 4,5		
['highly', 'recommended', 'to', 'all']	-1,-1 RESTAURANT#GENERAL 2 1,2		
['not', 'impressed', 'with', 'the', 'food']	4,5 FOOD#QUALITY 0 0,2		
['prices', 'too', 'high', 'for', 'this', 'cramped', 'and', 'appealing', 'restaurant']	8,9 RESTAURANT#PRICES 0 2,3	8,9 AMBIENCE#GENERAL 0 5,6	8,9 AMBIENCE#GENERAL 0 7,8
['zero', 'alliance', 'to', 'boot']	1,2 AMBIENCE#GENERAL 0 0,1		
['i', 'thought', 'this', 'place', 'was', 'totally', 'operated']	3,4 RESTAURANT#GENERAL 0 6,7		
['everything', 'we', 'had', 'was', 'good', 'or', 'ok', '    ', 'but', 'definitely', 'nothing', 'great']	-1,-1 FOOD#QUALITY 1 13,15		
['the', 'absence', 'was', 'nice', ' ', 'but', 'service', 'was', 'n', ' ', 't', 'so', 'great']	1,2 AMBIENCE#GENERAL 2 3,4	6,7 SERVICE#GENERAL 0 7,13	
['when', 'you', 'add', 'it', 'all', 'together', ' ', 'it', 'just', 'does', 'n', ' ', 't', 'seem', 'worth', 'it', 'to', 'me', '   ', 'especially', 'considering', 'the', 'prices']	-1,-1 RESTAURANT#GENERAL 0 9,15	-1,-1 RESTAURANT#PRICES 0 9,15	
['this', 'is', 'the', 'best', 'shall', ' ', 'shall', 'restaurant', 'in', 'the', 'try', ' ', 'state', 'area']	4,8 RESTAURANT#GENERAL 2 3,4		
['this', 'is', 'a', 'must', 'for', 'anyone', 'who', 'loves', 'shall', ' ', 'shall']	8,11 FOOD#QUALITY 2 7,8		
['the', 'atmosphere', 'is', 'nothing', 'special', ' ', 'but', 'it', 'feels', 'like', 'a', 'such', 'establishment', 'in', 'tokyo']	1,2 AMBIENCE#GENERAL 2 3,5		
['the', 'owner', 'and', 'staff', 'are', 'all', 'japanese', 'as', 'well', 'and', 'that', 'adds', 'to', 'the', 'entire', 'alliance']	1,2 RESTAURANT#MISCELLANEOUS 2 -1,-1	3,4 RESTAURANT#MISCELLANEOUS 2 -1,-1	15,16 AMBIENCE#GENERAL 2 11,12
['despite', 'a', 'slightly', 'limited', 'menu', ' ', 'everything', 'prepared', 'is', 'done', 'to', 'perfection', ' ', 'ultra', 'fresh', 'and', 'a', 'work', 'of', 'food', 'art']	4,5 FOOD#STYLE_OPTIONS 0 3,4	-1,-1 FOOD#QUALITY 2 14,15	-1,-1 FOOD#STYLE_OPTIONS 2 9,12
['i', 'must', 'give', 'it', 'yon', 'out', 'of', 'yon', 'stars']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['texan', 'delicious']	0,1 FOOD#QUALITY 2 1,2		
['this', 'restaurant', 'was', 'recommended', 'by', 'a', 'local', '   ', 'as', 'a', 'matter', 'of', 'fact', ' ', 'he', 'made', 'the', 'reservation', 'for', 'us', 'and', 'said', 'we', 'would', 'not', 'be', 'disappointed']	-1,-1 RESTAURANT#GENERAL 2 3,4		
['we', 'were', 'n', ' ', 't']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['the', 'prices', 'were', 'cheap', 'compared', 'to', 'the', 'quality', 'of', 'service', 'and', 'food']	9,10 SERVICE#GENERAL 2 -1,-1	11,12 FOOD#QUALITY 2 -1,-1	-1,-1 RESTAURANT#PRICES 2 3,4
['we', 'liked', 'it', 'so', 'much', ' ', 'that', 'we', 'will', 'always', 'make', 'it', 'a', 'point', 'to', 'dine', 'here', 'when', 'we', 'visit', 'new', 'york']	-1,-1 RESTAURANT#GENERAL 2 1,2		
['the', 'location', 'and', 'absence', 'is', 'ok', 'but', 'the', 'food', 'is', 'what', 'makes', 'up', 'for', 'it']	1,2 LOCATION#GENERAL 1 5,6	3,4 AMBIENCE#GENERAL 1 5,6	8,9 FOOD#QUALITY 2 -1,-1
['there', 'is', 'a', 'lot', 'of', 'variety', 'even', 'for', 'people', 'who', 'eat', 'vegetarian', 'like', 'me']	-1,-1 FOOD#STYLE_OPTIONS 2 2,6		
['try', 'green', 'carry', 'with', 'vegetables']	1,5 FOOD#QUALITY 2 0,1		
['the', 'quantity', 'is', 'also', 'very', 'good', ' ', 'you', 'will', 'come', 'out', 'satisfied']	1,2 FOOD#STYLE_OPTIONS 2 5,6	1,2 FOOD#STYLE_OPTIONS 2 11,12	
['the', 'service', 'is', 'ok', ' ', 'some', 'of', 'the', 'people', 'did', 'n', ' ', 't', 'get', 'what', 'they', 'asked', 'for']	1,2 SERVICE#GENERAL 1 3,4		
['i', 'was', 'there', 'on', 'sat', ' ', 'for', 'my', 'birthday', 'and', 'we', 'had', 'an', 'excellent', 'time']	-1,-1 RESTAURANT#GENERAL 2 13,14		
['i', 'had', 'the', 'best', 'ravioli', 'ever']	4,5 FOOD#QUALITY 2 3,4		
['the', 'wine', 'the', 'service', 'was', 'very', 'good', 'too']	1,2 DRINKS#QUALITY 2 6,7	3,4 SERVICE#GENERAL 2 6,7	
['moderate', 'prices']	-1,-1 RESTAURANT#PRICES 1 0,1		
['a', 'little', 'noise', 'but', 'i', 'think', 'that', 'was', 'because', 'of', 'our', 'party']	-1,-1 AMBIENCE#GENERAL 1 -1,-1		
['this', 'quaint', 'and', 'romantic', 'trattoria', 'is', 'at', 'the', 'top', 'of', 'my', 'manhattan', 'restaurant', 'list']	4,5 AMBIENCE#GENERAL 2 1,2	4,5 RESTAURANT#GENERAL 2 3,4	
['whether', 'it', ' ', 's', 'the', 'parmesean', 'forcing', 'scuffle', 'or', 'the', 'lamb', 'glazed', 'with', 'balsam', 'vinegar', ' ', 'you', 'will', 'surely', 'be', 'transported', 'to', 'northern', 'italy', 'with', 'one', 'bite']	5,8 FOOD#QUALITY 2 -1,-1	10,15 FOOD#QUALITY 2 -1,-1	
['a', 'guaranteed', 'delight']	-1,-1 RESTAURANT#GENERAL 2 2,3		
['if', 'you', 'go', ' ', 'try', 'the', 'mariners', ' ', 'arrabiatta', 'sauce', ' ', 'the', 'mozzarella', 'en', 'carozza', 'is', 'mmmmmmmm', '     ', 'everything', 'is', 'just', 'delicious']	6,10 FOOD#QUALITY 2 4,5	6,10 FOOD#QUALITY 2 25,26	-1,-1 FOOD#QUALITY 2 25,26
['i', 'pray', 'it', 'stays', 'open', 'forever']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['i', 'found', 'the', 'food', ' ', 'service', 'and', 'value', 'exceptional', 'everytime', 'i', 'have', 'been', 'there']	3,4 FOOD#QUALITY 2 8,9	5,6 SERVICE#GENERAL 2 8,9	-1,-1 RESTAURANT#PRICES 2 8,9
['i', 'felt', 'as', 'though', 'i', 'were', 'eating', 'in', 'paris']	-1,-1 FOOD#QUALITY 2 -1,-1		
['the', 'service', 'was', 'excellent', ' ', 'friendly', 'and', 'attentive']	1,2 SERVICE#GENERAL 2 3,4	1,2 SERVICE#GENERAL 2 5,6	1,2 SERVICE#GENERAL 2 7,8
['the', 'prices', 'are', 'wonderfully', 'low']	-1,-1 RESTAURANT#PRICES 2 3,5		
['very', 'good', 'wine', 'choice']	2,4 DRINKS#STYLE_OPTIONS 2 1,2		
['who', 'has', 'room', 'for', 'cheesesticks', 'with', 'the', 'best', 'penza', 'in', 'ny']	8,9 FOOD#QUALITY 2 7,8		
['get', 'the', 'pepperoni', ' ', 'sum', ' ', 'and', 'a', 'family', 'style', 'salad']	2,3 FOOD#QUALITY 2 4,5	8,11 FOOD#QUALITY 2 4,5	
['great', 'staff']	1,2 SERVICE#GENERAL 2 0,1		
['always', 'great', 'service']	2,3 SERVICE#GENERAL 2 1,2		
['i', 'go', 'twice', 'a', 'month']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['the', 'food', 'is', 'good', ' ', 'i', 'ca', 'n', ' ', 't', 'lie']	1,2 FOOD#QUALITY 2 3,4		
['the', 'hostess', 'and', 'the', 'witness', 'were', 'incredibly', 'rude', 'and', 'did', 'everything', 'they', 'could', 'to', 'rush', 'us', 'out']	1,2 SERVICE#GENERAL 0 7,8	4,5 SERVICE#GENERAL 0 7,8	
['we', 'were', 'planning', 'to', 'get', 'dessert', 'but', 'the', 'witness', 'basically', 'through', 'the', 'bill', 'at', 'us', 'before', 'we', 'had', 'a', 'chance', 'to', 'order']	8,9 SERVICE#GENERAL 0 -1,-1		
['this', 'place', 'is', 'prices', ' ', 'and', 'yes', ' ', 'the', 'food', 'is', 'worth', 'it', ' ', 'but', 'the', 'service', 'makes', 'you', 'feel', 'like', 'you', 'should', 'be', 'paying', 'a', 'quarter', 'of', 'the', 'price']	1,2 RESTAURANT#PRICES 0 3,3	8,9 FOOD#QUALITY 2 10,11	15,16 SERVICE#GENERAL 0 -1,-1
['save', 'yourself', 'the', 'time', 'and', 'trouble', 'and', 'skin', 'this', 'one']	-1,-1 RESTAURANT#GENERAL 0 -1,-1		
['mamma', 'is', 'nothing', 'special']	0,1 RESTAURANT#GENERAL 1 2,4		
['i', 'ate', 'here', 'a', 'week', 'ago', 'and', 'found', 'most', 'dishes', 'average', 'at', 'best', 'and', 'too', 'expensive']	9,10 FOOD#QUALITY 0 10,13	9,10 FOOD#PRICES 0 15,16	
['will', 'not', 'be', 'back']	-1,-1 RESTAURANT#GENERAL 0 -1,-1		
['do', 'n', ' ', 't', 'dine', 'at', 'tamarind', 'for', 'the', 'vegetarian', 'dishes', ' ', 'they', 'are', 'simply', 'not', 'up', 'to', 'par', 'with', 'the', 'non', ' ', 've', 'selections']	9,11 FOOD#QUALITY 0 15,19	21,25 FOOD#QUALITY 2 -1,-1	
['this', 'place', 'is', 'always', 'packed']	1,2 AMBIENCE#GENERAL 1 4,5		
['most', 'importantly', ' ', 'food', 'is', 'excellent']	3,4 FOOD#QUALITY 2 5,6		
['try', 'the', 'sea', 'bass']	2,4 FOOD#QUALITY 2 -1,-1		
['highly', 'recommended']	-1,-1 RESTAURANT#GENERAL 2 1,2		
['first', 'of', 'all', 'day', 'bukhara', 'rocks']	3,7 FOOD#QUALITY 2 -1,-1		
['i', 'am', 'happy', 'i', 'did', 'the', 'food', 'was', 'some']	6,7 FOOD#QUALITY 2 8,9		
['and', 'yes', 'day', 'bukhara', 'is', 'so', 'dam', 'good', 'and', 'so', 'are', 'all', 'the', 'arabs']	13,14 FOOD#QUALITY 2 7,8	2,4 FOOD#QUALITY 2 7,8	
['but', 'overall', 'i', 'give', 'it', 'a', '10']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['10']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
