text_column	other_column1	other_column2	other_column3	corrected_text	cleaned_text	tokens
the wine list is also really nice .	1,3 DRINKS#STYLE_OPTIONS 2 6,7			the wine list is also really nice .	the wine list is also really nice 	['the', 'wine', 'list', 'is', 'also', 'really', 'nice']
i have been to casimir over 5 times and i have always had a great time there .	4,5 RESTAURANT#GENERAL 2 14,16			i have been to kashmir over 5 times and i have always had a great time there .	i have been to kashmir over 5 times and i have always had a great time there 	['i', 'have', 'been', 'to', 'kashmir', 'over', '5', 'times', 'and', 'i', 'have', 'always', 'had', 'a', 'great', 'time', 'there']
the food is great and reasonably priced .	1,2 FOOD#QUALITY 2 3,4	1,2 FOOD#PRICES 2 5,7		the food is great and reasonably prices .	the food is great and reasonably prices 	['the', 'food', 'is', 'great', 'and', 'reasonably', 'prices']
i have tried to make reservations , but both times , the hostess did n ' t have my name .	12,13 SERVICE#GENERAL 0 -1,-1			i have tried to make reservations , but both times , the hostess did n ' t have my name .	i have tried to make reservations  but both times  the hostess did n  t have my name 	['i', 'have', 'tried', 'to', 'make', 'reservations', 'but', 'both', 'times', 'the', 'hostess', 'did', 'n', 't', 'have', 'my', 'name']
if the weather is nice , try to snag an outside table .	10,12 AMBIENCE#GENERAL 2 -1,-1			if the weather is nice , try to sang an outside table .	if the weather is nice  try to sang an outside table 	['if', 'the', 'weather', 'is', 'nice', 'try', 'to', 'sang', 'an', 'outside', 'table']
the staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .	1,2 SERVICE#GENERAL 2 4,5	1,2 SERVICE#GENERAL 2 10,11	13,15 AMBIENCE#GENERAL 0 -1,-1	the staff has been nice , but they seemed really stressed and the united bathroom needs to be cleaned more often .	the staff has been nice  but they seemed really stressed and the united bathroom needs to be cleaned more often 	['the', 'staff', 'has', 'been', 'nice', 'but', 'they', 'seemed', 'really', 'stressed', 'and', 'the', 'united', 'bathroom', 'needs', 'to', 'be', 'cleaned', 'more', 'often']
my boyfriend and i went there to celebrate my birthday the other night and all i can say is that it was magnificent .	-1,-1 RESTAURANT#GENERAL 2 22,23			my boyfriend and i went there to celebrate my birthday the other night and all i can say is that it was magnificent .	my boyfriend and i went there to celebrate my birthday the other night and all i can say is that it was magnificent 	['my', 'boyfriend', 'and', 'i', 'went', 'there', 'to', 'celebrate', 'my', 'birthday', 'the', 'other', 'night', 'and', 'all', 'i', 'can', 'say', 'is', 'that', 'it', 'was', 'magnificent']
from the spectacular caviar to the hospitable waitstaff , i felt like royalty and enjoyed every second of it .	3,4 FOOD#QUALITY 2 2,3	7,8 SERVICE#GENERAL 2 6,7		from the spectacular cavity to the hospitable waitstaff , i felt like royalty and enjoyed every second of it .	from the spectacular cavity to the hospitable waitstaff  i felt like royalty and enjoyed every second of it 	['from', 'the', 'spectacular', 'cavity', 'to', 'the', 'hospitable', 'waitstaff', 'i', 'felt', 'like', 'royalty', 'and', 'enjoyed', 'every', 'second', 'of', 'it']
considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .	16,17 SERVICE#GENERAL 2 27,28	16,17 SERVICE#GENERAL 2 29,30		considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .	considering we were the last patrons there and it was after the closing time  the waitstaff did not rush us at all and made us feel comfortable and relaxed 	['considering', 'we', 'were', 'the', 'last', 'patrons', 'there', 'and', 'it', 'was', 'after', 'the', 'closing', 'time', 'the', 'waitstaff', 'did', 'not', 'rush', 'us', 'at', 'all', 'and', 'made', 'us', 'feel', 'comfortable', 'and', 'relaxed']
i highly recommend caviar russe to anyone who wants delicious top grade caviar and fantastic service .	12,13 FOOD#QUALITY 2 9,12	15,16 SERVICE#GENERAL 2 14,15		i highly recommend cavity russe to anyone who wants delicious top grade cavity and fantastic service .	i highly recommend cavity russe to anyone who wants delicious top grade cavity and fantastic service 	['i', 'highly', 'recommend', 'cavity', 'russe', 'to', 'anyone', 'who', 'wants', 'delicious', 'top', 'grade', 'cavity', 'and', 'fantastic', 'service']
nice family owned traditional restaurant .	4,5 RESTAURANT#GENERAL 2 3,4			nice family owned traditional restaurant .	nice family owned traditional restaurant 	['nice', 'family', 'owned', 'traditional', 'restaurant']
i was pleasantly surprised to find this gem in hoboken .	-1,-1 RESTAURANT#GENERAL 2 3,4			i was pleasantly surprised to find this gem in hooker .	i was pleasantly surprised to find this gem in hooker 	['i', 'was', 'pleasantly', 'surprised', 'to', 'find', 'this', 'gem', 'in', 'hooker']
i found the food to be outstanding , particulary the salmon dish i had .	3,4 FOOD#QUALITY 2 6,7	10,12 FOOD#QUALITY 2 6,7		i found the food to be outstanding , particularly the salmon dish i had .	i found the food to be outstanding  particularly the salmon dish i had 	['i', 'found', 'the', 'food', 'to', 'be', 'outstanding', 'particularly', 'the', 'salmon', 'dish', 'i', 'had']
i also ordered the change mojito , which was out of this world .	4,6 DRINKS#QUALITY 2 9,13			i also ordered the change motto , which was out of this world .	i also ordered the change motto  which was out of this world 	['i', 'also', 'ordered', 'the', 'change', 'motto', 'which', 'was', 'out', 'of', 'this', 'world']
my friends settled for rice dishes , but we came back the following day to try the dim sum , which was good . . . not outstanding , but good .	17,19 FOOD#QUALITY 1 22,23	17,19 FOOD#QUALITY 1 30,31	17,19 FOOD#QUALITY 1 26,28	my friends settled for rice dishes , but we came back the following day to try the dim sum , which was good . . . not outstanding , but good .	my friends settled for rice dishes  but we came back the following day to try the dim sum  which was good    not outstanding  but good 	['my', 'friends', 'settled', 'for', 'rice', 'dishes', 'but', 'we', 'came', 'back', 'the', 'following', 'day', 'to', 'try', 'the', 'dim', 'sum', 'which', 'was', 'good', 'not', 'outstanding', 'but', 'good']
we ate out in the back patio , which is worth it as it ' s cool and the music is hear well there .	5,7 AMBIENCE#GENERAL 2 10,11	5,7 AMBIENCE#GENERAL 2 16,17	19,20 AMBIENCE#GENERAL 2 22,23	we ate out in the back ratio , which is worth it as it ' s cool and the music is hear well there .	we ate out in the back ratio  which is worth it as it  s cool and the music is hear well there 	['we', 'ate', 'out', 'in', 'the', 'back', 'ratio', 'which', 'is', 'worth', 'it', 'as', 'it', 's', 'cool', 'and', 'the', 'music', 'is', 'hear', 'well', 'there']
overall , excellent restaurant !	3,4 RESTAURANT#GENERAL 2 2,3			overall , excellent restaurant !	overall  excellent restaurant 	['overall', 'excellent', 'restaurant']
the food was good .	1,2 FOOD#QUALITY 2 3,4			the food was good .	the food was good 	['the', 'food', 'was', 'good']
the place was nice and calm .	1,2 AMBIENCE#GENERAL 2 3,4	1,2 AMBIENCE#GENERAL 2 5,6		the place was nice and calm .	the place was nice and calm 	['the', 'place', 'was', 'nice', 'and', 'calm']
but the service was a bit slow .	2,3 SERVICE#GENERAL 0 6,7			but the service was a bit slow .	but the service was a bit slow 	['but', 'the', 'service', 'was', 'a', 'bit', 'slow']
the buffet had a nice selection .	1,2 FOOD#STYLE_OPTIONS 2 4,5			the buffets had a nice selection .	the buffets had a nice selection 	['the', 'buffets', 'had', 'a', 'nice', 'selection']
the food was average or above including some surprising tasty dishes .	1,2 FOOD#QUALITY 2 3,6	10,11 FOOD#QUALITY 2 8,9	10,11 FOOD#QUALITY 2 9,10	the food was average or above including some surprising taste dishes .	the food was average or above including some surprising taste dishes 	['the', 'food', 'was', 'average', 'or', 'above', 'including', 'some', 'surprising', 'taste', 'dishes']
service was also very good .	0,1 SERVICE#GENERAL 2 4,5			service was also very good .	service was also very good 	['service', 'was', 'also', 'very', 'good']
i would go back .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			i would go back .	i would go back 	['i', 'would', 'go', 'back']
i got an excellent piece of cheesecake and we had several other nice pastries .	6,7 FOOD#QUALITY 2 3,4	13,14 FOOD#QUALITY 2 12,13		i got an excellent piece of cheesecake and we had several other nice parties .	i got an excellent piece of cheesecake and we had several other nice parties 	['i', 'got', 'an', 'excellent', 'piece', 'of', 'cheesecake', 'and', 'we', 'had', 'several', 'other', 'nice', 'parties']
i would recommend roxy ' s for that , but not for their food .	13,14 FOOD#QUALITY 0 2,3	-1,-1 FOOD#QUALITY 2 2,3		i would recommend rosy ' s for that , but not for their food .	i would recommend rosy  s for that  but not for their food 	['i', 'would', 'recommend', 'rosy', 's', 'for', 'that', 'but', 'not', 'for', 'their', 'food']
my son and his girlfriend both wanted cheeseburgers and they were huge !	7,8 FOOD#STYLE_OPTIONS 1 11,12			my son and his girlfriend both wanted cheeseburgers and they were huge !	my son and his girlfriend both wanted cheeseburgers and they were huge 	['my', 'son', 'and', 'his', 'girlfriend', 'both', 'wanted', 'cheeseburgers', 'and', 'they', 'were', 'huge']
but , they were too big for the bun .	-1,-1 FOOD#STYLE_OPTIONS 0 4,6			but , they were too big for the but .	but  they were too big for the but 	['but', 'they', 'were', 'too', 'big', 'for', 'the', 'but']
consequently , their burgers fell apart in their hands and made such a mess that they did ' nt feel like finishing them .	3,4 FOOD#STYLE_OPTIONS 0 4,6			consequently , their burghers fell apart in their hands and made such a mess that they did ' it feel like finishing them .	consequently  their burghers fell apart in their hands and made such a mess that they did  it feel like finishing them 	['consequently', 'their', 'burghers', 'fell', 'apart', 'in', 'their', 'hands', 'and', 'made', 'such', 'a', 'mess', 'that', 'they', 'did', 'it', 'feel', 'like', 'finishing', 'them']
also they were $ 15 each !	-1,-1 FOOD#PRICES 0 -1,-1			also they were $ 15 each !	also they were  15 each 	['also', 'they', 'were', '15', 'each']
i had a huge pastrami sandwich on a roll .	4,9 FOOD#STYLE_OPTIONS 1 3,4			i had a huge pastrami sandwich on a roll .	i had a huge pastrami sandwich on a roll 	['i', 'had', 'a', 'huge', 'pastrami', 'sandwich', 'on', 'a', 'roll']
it was $ 14 not really bad for a pound of pastrami - but it did n ' t have much taste - i ' ve had better for less elsewhere !	-1,-1 FOOD#PRICES 1 4,7	-1,-1 FOOD#QUALITY 0 -1,-1		it was $ 14 not really bad for a pound of pastrami - but it did n ' t have much taste - i ' ve had better for less elsewhere !	it was  14 not really bad for a pound of pastrami  but it did n  t have much taste  i  ve had better for less elsewhere 	['it', 'was', '14', 'not', 'really', 'bad', 'for', 'a', 'pound', 'of', 'pastrami', 'but', 'it', 'did', 'n', 't', 'have', 'much', 'taste', 'i', 've', 'had', 'better', 'for', 'less', 'elsewhere']
this place is really trendi but they have forgotten about the most important part of a restaurant , the food .	19,20 FOOD#QUALITY 0 8,9	1,2 AMBIENCE#GENERAL 2 4,5		this place is really trend but they have forgotten about the most important part of a restaurant , the food .	this place is really trend but they have forgotten about the most important part of a restaurant  the food 	['this', 'place', 'is', 'really', 'trend', 'but', 'they', 'have', 'forgotten', 'about', 'the', 'most', 'important', 'part', 'of', 'a', 'restaurant', 'the', 'food']
the last two times i ordered from here my food was soo spicy that i could barely eat it , and the spice took away from the flavor of the dish .	9,10 FOOD#QUALITY 0 12,13	22,23 FOOD#QUALITY 0 -1,-1		the last two times i ordered from here my food was so spice that i could barely eat it , and the spice took away from the flavor of the dish .	the last two times i ordered from here my food was so spice that i could barely eat it  and the spice took away from the flavor of the dish 	['the', 'last', 'two', 'times', 'i', 'ordered', 'from', 'here', 'my', 'food', 'was', 'so', 'spice', 'that', 'i', 'could', 'barely', 'eat', 'it', 'and', 'the', 'spice', 'took', 'away', 'from', 'the', 'flavor', 'of', 'the', 'dish']
and the tom kha soup was pathetic .	2,5 FOOD#QUALITY 0 6,7			and the tom ha soup was pathetic .	and the tom ha soup was pathetic 	['and', 'the', 'tom', 'ha', 'soup', 'was', 'pathetic']
if you want good authentic thai this place is not the place to go .	5,6 FOOD#QUALITY 0 3,4	5,6 FOOD#QUALITY 0 4,5		if you want good authentic that this place is not the place to go .	if you want good authentic that this place is not the place to go 	['if', 'you', 'want', 'good', 'authentic', 'that', 'this', 'place', 'is', 'not', 'the', 'place', 'to', 'go']
we went here for lunch a couple of weeks ago on a saturday , and i was thoroughly impressed with the food .	21,22 FOOD#QUALITY 2 18,19			we went here for lunch a couple of weeks ago on a saturday , and i was thoroughly impressed with the food .	we went here for lunch a couple of weeks ago on a saturday  and i was thoroughly impressed with the food 	['we', 'went', 'here', 'for', 'lunch', 'a', 'couple', 'of', 'weeks', 'ago', 'on', 'a', 'saturday', 'and', 'i', 'was', 'thoroughly', 'impressed', 'with', 'the', 'food']
the pesto pizza was excellent , thin - crust pizza with a nice amount of spicy italian cheese that i ' d never heard of before .	1,3 FOOD#QUALITY 2 4,5	15,18 FOOD#QUALITY 2 12,13		the pest penza was excellent , thin - crust penza with a nice amount of spice italian cheese that i ' d never heard of before .	the pest penza was excellent  thin  crust penza with a nice amount of spice italian cheese that i  d never heard of before 	['the', 'pest', 'penza', 'was', 'excellent', 'thin', 'crust', 'penza', 'with', 'a', 'nice', 'amount', 'of', 'spice', 'italian', 'cheese', 'that', 'i', 'd', 'never', 'heard', 'of', 'before']
conveniently located too , being right on bedford ave .	-1,-1 LOCATION#GENERAL 2 0,1			conveniently located too , being right on bedford ave .	conveniently located too  being right on bedford ave 	['conveniently', 'located', 'too', 'being', 'right', 'on', 'bedford', 'ave']
the back garden sitting area is very pleasant , where you can see their personal herb garden .	1,5 AMBIENCE#GENERAL 2 7,8			the back garden sitting area is very pleasant , where you can see their personal herb garden .	the back garden sitting area is very pleasant  where you can see their personal herb garden 	['the', 'back', 'garden', 'sitting', 'area', 'is', 'very', 'pleasant', 'where', 'you', 'can', 'see', 'their', 'personal', 'herb', 'garden']
we had the lobster sandwich and it was fantastic .	3,5 FOOD#QUALITY 2 8,9			we had the lobster sandwich and it was fantastic .	we had the lobster sandwich and it was fantastic 	['we', 'had', 'the', 'lobster', 'sandwich', 'and', 'it', 'was', 'fantastic']
my husband said he could ' ve eaten several more , the portion was fine for me he even exclaimed that the french fries were the best he has had .	12,13 FOOD#STYLE_OPTIONS 2 14,15	22,24 FOOD#QUALITY 2 26,27	-1,-1 FOOD#STYLE_OPTIONS 0 -1,-1	my husband said he could ' ve eaten several more , the portion was fine for me he even exclaimed that the french fires were the best he has had .	my husband said he could  ve eaten several more  the portion was fine for me he even exclaimed that the french fires were the best he has had 	['my', 'husband', 'said', 'he', 'could', 've', 'eaten', 'several', 'more', 'the', 'portion', 'was', 'fine', 'for', 'me', 'he', 'even', 'exclaimed', 'that', 'the', 'french', 'fires', 'were', 'the', 'best', 'he', 'has', 'had']
we had the scallops as an appetizer and they were delicious and the sauce was wonderful .	3,4 FOOD#QUALITY 2 10,11	13,14 FOOD#QUALITY 2 15,16		we had the callous as an appetite and they were delicious and the sauce was wonderful .	we had the callous as an appetite and they were delicious and the sauce was wonderful 	['we', 'had', 'the', 'callous', 'as', 'an', 'appetite', 'and', 'they', 'were', 'delicious', 'and', 'the', 'sauce', 'was', 'wonderful']
we waited at the bar and had martinis that were just right .	7,8 DRINKS#QUALITY 2 11,12			we waited at the bar and had margins that were just right .	we waited at the bar and had margins that were just right 	['we', 'waited', 'at', 'the', 'bar', 'and', 'had', 'margins', 'that', 'were', 'just', 'right']
love the food .	2,3 FOOD#QUALITY 2 0,1			love the food .	love the food 	['love', 'the', 'food']
it ' s the only place you can get yummy authentic japanese comfort food .	11,14 FOOD#QUALITY 2 9,10	11,14 FOOD#QUALITY 2 10,11		it ' s the only place you can get mummy authentic japanese comfort food .	it  s the only place you can get mummy authentic japanese comfort food 	['it', 's', 'the', 'only', 'place', 'you', 'can', 'get', 'mummy', 'authentic', 'japanese', 'comfort', 'food']
and you ca n ' t beat the prices .	-1,-1 RESTAURANT#PRICES 2 -1,-1			and you ca n ' t beat the prices .	and you ca n  t beat the prices 	['and', 'you', 'ca', 'n', 't', 'beat', 'the', 'prices']
i ' ve lived in ny for 5 years and this place has it all .	11,12 RESTAURANT#GENERAL 2 -1,-1			i ' ve lived in ny for 5 years and this place has it all .	i  ve lived in ny for 5 years and this place has it all 	['i', 've', 'lived', 'in', 'ny', 'for', '5', 'years', 'and', 'this', 'place', 'has', 'it', 'all']
i ' m glad i was introduced to this place and this is a rare gem in ny .	9,10 RESTAURANT#GENERAL 2 3,4			i ' m glad i was introduced to this place and this is a rare gem in ny .	i  m glad i was introduced to this place and this is a rare gem in ny 	['i', 'm', 'glad', 'i', 'was', 'introduced', 'to', 'this', 'place', 'and', 'this', 'is', 'a', 'rare', 'gem', 'in', 'ny']
the freshest , best variety , and the fastest delivery .	9,10 SERVICE#GENERAL 2 8,9	-1,-1 FOOD#QUALITY 2 1,2	-1,-1 FOOD#STYLE_OPTIONS 2 3,4	the freshness , best variety , and the fattest delivery .	the freshness  best variety  and the fattest delivery 	['the', 'freshness', 'best', 'variety', 'and', 'the', 'fattest', 'delivery']
also very inexpensive .	-1,-1 RESTAURANT#PRICES 2 2,3			also very expensive .	also very expensive 	['also', 'very', 'expensive']
the service was excellent and the food was delicious .	1,2 SERVICE#GENERAL 2 3,4	6,7 FOOD#QUALITY 2 8,9		the service was excellent and the food was delicious .	the service was excellent and the food was delicious 	['the', 'service', 'was', 'excellent', 'and', 'the', 'food', 'was', 'delicious']
definitely a great spot for a nice occasion or date .	3,4 RESTAURANT#MISCELLANEOUS 2 2,3			definitely a great spot for a nice occasion or date .	definitely a great spot for a nice occasion or date 	['definitely', 'a', 'great', 'spot', 'for', 'a', 'nice', 'occasion', 'or', 'date']
average to good thai food , but terrible delivery .	3,5 FOOD#QUALITY 2 0,3	8,9 SERVICE#GENERAL 0 7,8		average to good that food , but terrible delivery .	average to good that food  but terrible delivery 	['average', 'to', 'good', 'that', 'food', 'but', 'terrible', 'delivery']
i ' ve waited over one hour for food .	-1,-1 SERVICE#GENERAL 0 -1,-1			i ' ve waited over one hour for food .	i  ve waited over one hour for food 	['i', 've', 'waited', 'over', 'one', 'hour', 'for', 'food']
they were very abrupt with me when i called and actually claimed the food was late because they were out of rice .	-1,-1 SERVICE#GENERAL 0 3,4			they were very abrupt with me when i called and actually claimed the food was late because they were out of rice .	they were very abrupt with me when i called and actually claimed the food was late because they were out of rice 	['they', 'were', 'very', 'abrupt', 'with', 'me', 'when', 'i', 'called', 'and', 'actually', 'claimed', 'the', 'food', 'was', 'late', 'because', 'they', 'were', 'out', 'of', 'rice']
a thai restaurant out of rice during dinner ?	1,3 RESTAURANT#MISCELLANEOUS 2 -1,-1			a that restaurant out of rice during dinner ?	a that restaurant out of rice during dinner 	['a', 'that', 'restaurant', 'out', 'of', 'rice', 'during', 'dinner']
the food arrived 20 minutes after i called , cold and soggy .	1,2 FOOD#QUALITY 0 9,10	1,2 FOOD#QUALITY 0 11,12	-1,-1 SERVICE#GENERAL 0 -1,-1	the food arrived 20 minutes after i called , cold and foggy .	the food arrived 20 minutes after i called  cold and foggy 	['the', 'food', 'arrived', '20', 'minutes', 'after', 'i', 'called', 'cold', 'and', 'foggy']
this is a wonderful place on all stand points especially value ofr money .	4,5 RESTAURANT#PRICES 2 3,4	4,5 RESTAURANT#GENERAL 2 3,4		this is a wonderful place on all stand points especially value of money .	this is a wonderful place on all stand points especially value of money 	['this', 'is', 'a', 'wonderful', 'place', 'on', 'all', 'stand', 'points', 'especially', 'value', 'of', 'money']
an excellent service	2,3 SERVICE#GENERAL 2 1,2			an excellent service	an excellent service	['an', 'excellent', 'service']
we were greeted promptly by the waiter who was very nice and cordial .	6,7 SERVICE#GENERAL 2 10,11	6,7 SERVICE#GENERAL 2 12,13	-1,-1 SERVICE#GENERAL 2 3,4	we were greeted promptly by the waiter who was very nice and cordial .	we were greeted promptly by the waiter who was very nice and cordial 	['we', 'were', 'greeted', 'promptly', 'by', 'the', 'waiter', 'who', 'was', 'very', 'nice', 'and', 'cordial']
she was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about indian food .	17,18 FOOD#QUALITY 2 16,17	-1,-1 SERVICE#GENERAL 2 3,4		she was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about indian food .	she was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about indian food 	['she', 'was', 'very', 'helpful', 'in', 'suggesting', 'us', 'drinks', 'and', 'helped', 'us', 'in', 'ordering', 'a', 'lot', 'of', 'good', 'dishes', 'since', 'we', 'knew', 'nothing', 'about', 'indian', 'food']
the food looked very appetizing and delicious since it came on a variety of fancy plates .	1,2 FOOD#STYLE_OPTIONS 2 4,5	1,2 FOOD#STYLE_OPTIONS 2 6,7		the food looked very appetizing and delicious since it came on a variety of fancy plates .	the food looked very appetizing and delicious since it came on a variety of fancy plates 	['the', 'food', 'looked', 'very', 'appetizing', 'and', 'delicious', 'since', 'it', 'came', 'on', 'a', 'variety', 'of', 'fancy', 'plates']
we ended our great experience by having gulab jamun ( dessert ) recommended by the waiter .	-1,-1 RESTAURANT#GENERAL 2 3,4	7,12 FOOD#QUALITY 2 -1,-1		we ended our great experience by having glad james ( dessert ) recommended by the waiter .	we ended our great experience by having glad james  dessert  recommended by the waiter 	['we', 'ended', 'our', 'great', 'experience', 'by', 'having', 'glad', 'james', 'dessert', 'recommended', 'by', 'the', 'waiter']
i thanked my friend who recommended me this restaurant and will certainly recommend it to others .	8,9 RESTAURANT#GENERAL 2 12,13			i thanked my friend who recommended me this restaurant and will certainly recommend it to others .	i thanked my friend who recommended me this restaurant and will certainly recommend it to others 	['i', 'thanked', 'my', 'friend', 'who', 'recommended', 'me', 'this', 'restaurant', 'and', 'will', 'certainly', 'recommend', 'it', 'to', 'others']
service here was great , food was fantastic .	0,1 SERVICE#GENERAL 2 3,4	5,6 FOOD#QUALITY 2 7,8		service here was great , food was fantastic .	service here was great  food was fantastic 	['service', 'here', 'was', 'great', 'food', 'was', 'fantastic']
guacamole + shrimp appetizer was really great , we both had the filet , very good , did n ' t much like the frites that came with , but the filet was so good , neither of us cared .	0,4 FOOD#QUALITY 2 6,7	12,13 FOOD#QUALITY 2 15,16	24,25 FOOD#QUALITY 0 -1,-1	guacamole + shrimp appetite was really great , we both had the file , very good , did n ' t much like the writes that came with , but the file was so good , neither of us cared .	guacamole  shrimp appetite was really great  we both had the file  very good  did n  t much like the writes that came with  but the file was so good  neither of us cared 	['guacamole', 'shrimp', 'appetite', 'was', 'really', 'great', 'we', 'both', 'had', 'the', 'file', 'very', 'good', 'did', 'n', 't', 'much', 'like', 'the', 'writes', 'that', 'came', 'with', 'but', 'the', 'file', 'was', 'so', 'good', 'neither', 'of', 'us', 'cared']
will absolutely visit again .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			will absolutely visit again .	will absolutely visit again 	['will', 'absolutely', 'visit', 'again']
you can not go wrong with this place .	7,8 RESTAURANT#GENERAL 2 4,5			you can not go wrong with this place .	you can not go wrong with this place 	['you', 'can', 'not', 'go', 'wrong', 'with', 'this', 'place']
always a nice crowd , but never loud .	3,4 RESTAURANT#MISCELLANEOUS 2 2,3	3,4 RESTAURANT#MISCELLANEOUS 2 6,8	-1,-1 AMBIENCE#GENERAL 2 6,8	always a nice crowd , but never loud .	always a nice crowd  but never loud 	['always', 'a', 'nice', 'crowd', 'but', 'never', 'loud']
go here .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			go here .	go here 	['go', 'here']
good for dates or with friends .	-1,-1 RESTAURANT#MISCELLANEOUS 2 0,1			good for dates or with friends .	good for dates or with friends 	['good', 'for', 'dates', 'or', 'with', 'friends']
i am reluctant to write because i would not want my jem of a pizza place to become overcrowded .	14,16 RESTAURANT#MISCELLANEOUS 2 18,19			i am reluctant to write because i would not want my jem of a penza place to become overcrowded .	i am reluctant to write because i would not want my jem of a penza place to become overcrowded 	['i', 'am', 'reluctant', 'to', 'write', 'because', 'i', 'would', 'not', 'want', 'my', 'jem', 'of', 'a', 'penza', 'place', 'to', 'become', 'overcrowded']
however , it is jus too good to not praise it .	-1,-1 RESTAURANT#GENERAL 2 6,7			however , it is just too good to not praise it .	however  it is just too good to not praise it 	['however', 'it', 'is', 'just', 'too', 'good', 'to', 'not', 'praise', 'it']
by far , the best pizza in manhattan .	5,6 FOOD#QUALITY 2 4,5			by far , the best penza in manhattan .	by far  the best penza in manhattan 	['by', 'far', 'the', 'best', 'penza', 'in', 'manhattan']
the crust is thin , the ingredients are fresh and the staff is friendly .	1,2 FOOD#QUALITY 2 3,4	11,12 SERVICE#GENERAL 2 13,14	6,7 FOOD#QUALITY 2 8,9	the crust is thin , the ingredient are fresh and the staff is friendly .	the crust is thin  the ingredient are fresh and the staff is friendly 	['the', 'crust', 'is', 'thin', 'the', 'ingredient', 'are', 'fresh', 'and', 'the', 'staff', 'is', 'friendly']
the menu has so many fish items and oysters .	1,2 FOOD#STYLE_OPTIONS 2 -1,-1			the menu has so many fish items and mystery .	the menu has so many fish items and mystery 	['the', 'menu', 'has', 'so', 'many', 'fish', 'items', 'and', 'mystery']
the fish was really , really fresh .	1,2 FOOD#QUALITY 2 6,7			the fish was really , really fresh .	the fish was really  really fresh 	['the', 'fish', 'was', 'really', 'really', 'fresh']
we all agreed that mare is one of the best seafood restaurants in new york .	4,5 RESTAURANT#GENERAL 2 9,10			we all agreed that mare is one of the best seafood restaurant in new york .	we all agreed that mare is one of the best seafood restaurant in new york 	['we', 'all', 'agreed', 'that', 'mare', 'is', 'one', 'of', 'the', 'best', 'seafood', 'restaurant', 'in', 'new', 'york']
i stumbled upon this great pizzeria as i explored my new neighborhood .	5,6 RESTAURANT#GENERAL 2 4,5			i stumbled upon this great pizzeria as i explored my new neighborhood .	i stumbled upon this great pizzeria as i explored my new neighborhood 	['i', 'stumbled', 'upon', 'this', 'great', 'pizzeria', 'as', 'i', 'explored', 'my', 'new', 'neighborhood']
all of the pizzas are terrific and the price is even better !	3,4 FOOD#QUALITY 2 5,6	-1,-1 RESTAURANT#PRICES 2 11,12		all of the pizzas are terrific and the price is even better !	all of the pizzas are terrific and the price is even better 	['all', 'of', 'the', 'pizzas', 'are', 'terrific', 'and', 'the', 'price', 'is', 'even', 'better']
i highly recommend the sophia pizza .	4,6 FOOD#QUALITY 2 2,3			i highly recommend the sophia penza .	i highly recommend the sophia penza 	['i', 'highly', 'recommend', 'the', 'sophia', 'penza']
it ' s to die for !	-1,-1 FOOD#QUALITY 2 -1,-1			it ' s to die for !	it  s to die for 	['it', 's', 'to', 'die', 'for']
the food was mediocre at best but it was the horrible service that made me vow never to go back .	1,2 FOOD#QUALITY 0 3,4	11,12 SERVICE#GENERAL 0 10,11		the food was mediocre at best but it was the horrible service that made me vow never to go back .	the food was mediocre at best but it was the horrible service that made me vow never to go back 	['the', 'food', 'was', 'mediocre', 'at', 'best', 'but', 'it', 'was', 'the', 'horrible', 'service', 'that', 'made', 'me', 'vow', 'never', 'to', 'go', 'back']
immediately after we paid , the waiter took the money and said , okay , you guys are outta here .	6,7 SERVICE#GENERAL 0 -1,-1			immediately after we paid , the waiter took the money and said , okay , you guns are gutta here .	immediately after we paid  the waiter took the money and said  okay  you guns are gutta here 	['immediately', 'after', 'we', 'paid', 'the', 'waiter', 'took', 'the', 'money', 'and', 'said', 'okay', 'you', 'guns', 'are', 'gutta', 'here']
so rushing us out was absolutely unnecessary !	-1,-1 SERVICE#GENERAL 0 -1,-1			so rushing us out was absolutely unnecessary !	so rushing us out was absolutely unnecessary 	['so', 'rushing', 'us', 'out', 'was', 'absolutely', 'unnecessary']
for the people who want great food plus great service , roxy is a place to avoid !	6,7 FOOD#QUALITY 0 5,6	9,10 SERVICE#GENERAL 0 8,9		for the people who want great food plus great service , rosy is a place to avoid !	for the people who want great food plus great service  rosy is a place to avoid 	['for', 'the', 'people', 'who', 'want', 'great', 'food', 'plus', 'great', 'service', 'rosy', 'is', 'a', 'place', 'to', 'avoid']
